Date,Location,Start_time,Start_AM_PM,End_time,End_AM_PM,Weather,Condition,Temperature_degrees,Trappers,Trap_zone,Species,Total_wt_g,Bag_wt_g,sq_wt_g,Sex,Age,Ear_tag,Fur dye,Freeze_brand,Recapture,Sex_characteristic,Comments
9/6/2010,Slu Campus,14:23,PM,15:30,PM,Cloudy,Cool,,Whole class,E,SCCA,,,,M,A,R001,Right Hip,Right Hip,,Slightly scrotal,
9/6/2010,Slu Campus,14:23,PM,15:30,PM,Cloudy,Cool,,Whole class,F,SCCA,,,,M,A,,Right Hip 2 patches,Right Backleg,,Slightly scrotal,Missing Tail Tip
9/6/2010,Slu Campus,14:23,PM,15:30,PM,Cloudy,Cool,,Whole class,B,SCCA,,,,M,A,R002,Center Rump,Left Leg,,Slightly scrotal,
9/6/2010,Slu Campus,14:23,PM,15:30,PM,Cloudy,Cool,,Whole class,B,SCCA,,,,M,A,R003,Left Leg,Left Middle,,Slightly scrotal,
9/6/2010,Slu Campus,14:23,PM,15:30,PM,Cloudy,Cool,,Whole class,B,SCCA,,,,M,A,R004,Left Middle,Right Middle,,Slightly scrotal,
9/8/2010,,7:30,AM,9:10,AM,Partly Cloudy,Cool,65,Erin Hanna Leah Abbie,C,SCCA,950,,,F,A,L005,Back Middle,Left Hip,,Nipples well developed and large,
9/8/2010,,7:30,AM,9:10,AM,Partly Cloudy,Cool,65,Erin Hanna Leah Abbie,C,SCCA,750,,,F,A,L007,Left Hip,Center Rump,,Nipples not developed,
9/8/2010,,7:30,AM,9:10,AM,Partly Cloudy,Cool,65,Erin Hanna Leah Abbie,C,SCCA,730,,,M,A,R008,Left Hip,Left Hip,,Tiny scrotal,
9/8/2010,,7:30,AM,9:10,AM,Partly Cloudy,Cool,65,Erin Hanna Leah Abbie,C,SCCA,710,,,M,SA,,Right Middle,Right Shoulder,,,sub adult
9/8/2010,,7:30,AM,9:10,AM,Partly Cloudy,Cool,65,Erin Hanna Leah Abbie,C,SCCA,780,,,F,,,,Right Hip,,,Escaped during freeze branding unsure about freeze brand location
9/8/2010,,7:30,AM,9:10,AM,Partly Cloudy,Cool,65,Erin Hanna Leah Abbie,C,SCCA,790,,,F,A,L009,Right Hip,Right Leg,,"nipples large, twitched then moved up",
9/10/2010,Front of JHS,1:30,,15:10,PM,Cloudy,,70,Andrew_Slcaygs Janet_Sun Eddie_Richter,C,SCCA,800,,,F,A,L010,Left Middle to Center Rump,Right Hip,,Well developed nipples,
9/10/2010,Front of JHS,1:30,,15:10,PM,Cloudy,,70,Andrew_Slcaygs Janet_Sun Eddie_Richter,C,SCCA,790,,,M,A,R011,Right Hip,Right Leg,,,"Caught earlier, 1/2 tail"
9/10/2010,Front of JHS,1:30,,15:10,PM,Cloudy,,70,Andrew_Slcaygs Janet_Sun Eddie_Richter,C,SCCA,870,,,F,A,,Right Leg,Center Shoulder,,Well developed nipples,
9/10/2010,Front of JHS,1:30,,15:10,PM,Cloudy,,70,Andrew_Slcaygs Janet_Sun Eddie_Richter,C,SCCA,,,,F,A,L009,Right Leg,Right Hip,,,
9/10/2010,Front of JHS,1:30,,15:10,PM,Cloudy,,70,Andrew_Slcaygs Janet_Sun Eddie_Richter,C,SCCA,710,,,M,A,R012,Center Hip Center Rump,Center Middle Right Hump,,Semi scrotal,
9/10/2010,Front of JHS,1:30,,15:10,PM,Cloudy,,70,Andrew_Slcaygs Janet_Sun Eddie_Richter,C,SCCA,750,,,F,A,L013,Center Shoulder,Center Rump Center Middle,,Nipples small,
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,A9,SCCA,,,,,,R011,,,Y,,R011 recap; released
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,A10,SCCA,760,,,F,,L014,Left Right Leg,Left Leg,,,Freeze brand closer to left hip
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,A11,SCCA,850,,,M,,R015,2 on Center Middle,Center Hump Right Leg,,,scrotal tube slip during RL freeze
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,C6,SCCA,800,,,M,,,,Right Middle,,Slightly scrotal,Escaped
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,F3,SCCA,750,,,F,,L016,Right Hip Right Shoulder,Right Leg Right Hip,,small nipples,
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,A11,SCCA,870,,,M,,R017,Left Leg Left Shoulder,Left Leg Left Hip,,very scrotal,
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,F5,SCCA,840,,,F,,R018,Left Middle Right Middle,Left Hip Center Rump,,small nipples,
10/1/2010,Campus,1:30,,16:00,PM,Cloudy,,60,Matthias Lizzy Amanda ELB,C6,SCCA,790,,,M,,R019,Right Leg Right Hip,Center Rump Center Middle,,very scrotal,
10/8/2010,Campus,13:40,PM,,,Partly Cloudy,Breezy,65,Jackie_D ELB Eddie_R Jessica_M,C,SCCA,760,,,F,,L16,,,Y,,Possibly L14
10/8/2010,Campus,13:40,PM,,,Partly Cloudy,Breezy,65,Jackie_D ELB Eddie_R Jessica_M,C,SCCA,760,,,F,,L,Left Knee,Left Leg,Y,,8/B no 00
10/8/2010,Campus,13:40,PM,,,Partly Cloudy,Breezy,65,Jackie_D ELB Eddie_R Jessica_M,E,SCCA,820,,,M,,R20,Right Middle,Left Hip Right Hip,,,Bloodied nose a little
10/8/2010,Campus,13:40,PM,,,Partly Cloudy,Breezy,65,Jackie_D ELB Eddie_R Jessica_M,C,SCCA,740,160,,F,,,CC Center Hip,Right Middle Right Leg,,,Escaped an ear tag
10/8/2010,Campus,13:40,PM,,,Partly Cloudy,Breezy,65,Jackie_D ELB Eddie_R Jessica_M,E,SCCA,760,,,F,,,,,Y,,released without handling 8/B no 00
9/1/2011,Around JHS,9:00,AM,11:30,AM,Clear,,65-75,Leah_H Kate_A Eddie_R Andrew_S ELB,,SCCA,850,160,690,M,1+,R051,,,Y,,"New tag, recap from 2010, probably R002"
9/1/2011,Around JHS,9:00,AM,11:30,AM,Clear,,65-75,Leah_H Kate_A Eddie_R Andrew_S ELB,Java Field,SCCA,800,160,640,F,SA,No ear tag,Center Rump Center Shoulder,Right Leg Right Hip,,,Escape from ear tag not sure if SA
9/1/2011,Around JHS,9:00,AM,11:30,AM,Clear,,65-75,Leah_H Kate_A Eddie_R Andrew_S ELB,,SCCA,720,160,760,F,A,L007,Left Hip,Center Rump,Y,,Recapture from 2010
9/2/2011,Around JHS,15:00,PM,,,Clear,Humid Warm,80,ELB Maria_H Kate_A Erin_S,,,,,,,,,,,,,
